180cm_NoOnePass_1,180cm_NoOnePass_2,180cm_NoOnePass_3
-52,-46,-48
-54,-43,-49
-44,-45,-59
-54,-51,-59
-44,-51,-48
-52,-50,-48
-53,-51,-61
-44,-52,-49
-51,-45,-60
-44,-52,-60
-53,-51,-49
-53,-53,-61
-44,-53,-48
-50,-45,-47
-44,-52,-54
-45,-51,-47
-55,-51,-48
-51,-52,-47
-51,-45,-54
-44,-52,-49
-52,-52,-49
-52,-46,-58
-44,-45,-46
-51,-45,-46
-51,-52,-48
-51,-46,-49
-51,-52,-57
-50,-51,-48
-52,-52,-48
-44,-46,-46
-51,-51,-48
-44,-53,-57
-51,-45,-46
-50,-52,-58
-44,-46,-57
-44,-51,-50
-50,-52,-50
-50,-52,-57
-51,-45,-59
-43,-52,-49
-49,-50,-50
-50,-45,-55
-51,-46,-54
-44,-46,-47
-48,-55,-52
-52,-58,-49
-44,-52,-50
-49,-52,-44
-49,-57,-45
-52,-49,-49
-44,-49,-51
-52,-45,-45
-51,-51,-49
-43,-51,-51
-50,-50,-45
-51,-50,-45
-43,-46,-51
-52,-53,-51
-45,-48,-49
-51,-45,-55
-52,-48,-53
-44,-51,-45
-50,-51,-53
-50,-45,-48
-51,-53,-52
-44,-52,-50
-51,-45,-53
-51,-51,-52
-51,-51,-46
-44,-45,-49
-56,-51,-54
-51,-54,-58
-43,-52,-46
-43,-46,-54
-50,-53,-45
-51,-50,-49
-51,-52,-46
-43,-52,-48
-50,-45,-49
-51,-45,-45
-44,-50,-46
-50,-50,-51
-44,-46,-45
-50,-49,-46
-48,-50,-49
-44,-49,-45
-51,-49,-52
-51,-49,-59
-50,-46,-49
-44,-53,-49
-51,-48,-50
-51,-53,-50
-44,-56,-51
-52,-49,-52
-50,-57,-57
-50,-53,-44
-44,-52,-49
-51,-45,-51
-51,-44,-51
-43,-46,-44
-50,-52,-49
-44,-50,-50
-51,-44,-49
-44,-46,-54
-44,-54,-46
-50,-54,-55
-44,-49,-51
-51,-50,-45
-44,-46,-45
-50,-54,-56
-49,-51,-44
-44,-47,-45
-49,-49,-49
-49,-46,-45
-44,-54,-45
-49,-50,-49
-44,-45,-48
-49,-51,-54
-50,-50,-45
-44,-45,-49
-49,-52,-52
-44,-46,-44
-44,-46,-50
-49,-54,-50
-44,-51,-55
-49,-45,-53
-50,-53,-52
-44,-51,-45
-49,-45,-49
-44,-53,-56
-50,-54,-46
-50,-52,-50
-44,-46,-53
-52,-52,-45
-50,-45,-51
-44,-52,-56
-51,-52,-46
-50,-51,-53
-44,-54,-52
-51,-51,-59
-50,-50,-51
-44,-53,-51
-51,-52,-50
-50,-46,-49
-44,-53,-54
-44,-46,-48
-51,-48,-50
-44,-48,-59
-44,-52,-48
-55,-59,-47
-51,-59,-51
-51,-62,-44
-44,-59,-44
-44,-57,-47
-51,-56,-51
-44,-48,-50
-51,-45,-50
-51,-50,-44
-52,-49,-44
-44,-50,-48
-51,-46,-49
-52,-49,-53
-51,-50,-46
-49,-46,-50
-45,-51,-50
-53,-51,-55
-45,-46,-51
-52,-52,-50
-45,-45,-54
-52,-45,-49
-51,-53,-53
-50,-50,-46
-52,-45,-48
-52,-52,-53
-51,-51,-44
-45,-45,-49
-52,-56,-45
-52,-44,-58
-51,-52,-45
-45,-52,-49
-51,-51,-52
-51,-44,-46
-52,-53,-46
-45,-52,-49
-53,-45,-49
-51,-54,-52
-45,-53,-45
-52,-51,-50
-45,-53,-50
-49,-52,-50
-51,-45,-44
-44,-45,-45
-44,-50,-50
-50,-45,-51
-51,-52,-47
-45,-51,-49
-45,-46,-57
-51,-50,-52
-51,-50,-52
-51,-48,-48
-45,-45,-51
-51,-53,-52
-51,-52,-45
-45,-49,-50
-51,-46,-51
-50,-56,-53
-51,-56,-44
-51,-53,-53
-45,-51,-51
-51,-58,-49
-51,-60,-51
-50,-54,-54
-51,-53,-45
-51,-50,-55
-45,-46,-61
-44,-51,-44
-50,-53,-48
-52,-45,-53
-45,-45,-53
-50,-54,-45
-52,-52,-49
-44,-46,-53
-45,-45,-54
-50,-51,-45
-51,-51,-45
-44,-45,-48
-50,-51,-44
-52,-53,-44
-44,-45,-48
-50,-55,-43
-50,-56,-52
-51,-49,-45
-50,-46,-50
-52,-54,-51
-44,-53,-53
-51,-45,-44
-44,-53,-56
-50,-52,-45
-44,-53,-54
-50,-45,-53
-44,-53,-45
-53,-51,-49
-51,-46,-54
-45,-50,-56
-52,-45,-44
-52,-52,-54
-51,-51,-44
-45,-58,-44
-54,-46,-46
-51,-54,-46
-45,-51,-50
-56,-51,-61
-51,-52,-49
-51,-50,-50
-45,-48,-50
-51,-46,-51
-45,-50,-51
-52,-45,-49
-50,-52,-48
-53,-45,-48
-50,-54,-62
-45,-46,-49
-52,-46,-48
-51,-54,-51
-45,-46,-44
-51,-46,-46
-51,-54,-54
-45,-53,-45
-49,-48,-47
-51,-63,-51
-50,-61,-51
-52,-52,-45
-44,-47,-51
-50,-51,-55
-52,-46,-45
-45,-52,-48
-50,-50,-46
-53,-50,-50
-45,-46,-48
-50,-50,-54
-52,-45,-47
-50,-45,-49
-52,-53,-49
-45,-53,-45
-44,-50,-48
-52,-46,-48
-51,-51,-56
-44,-45,-48
-52,-52,-48
-55,-53,-49
-45,-52,-50
-52,-45,-46
-45,-50,-52
-52,-50,-51
-52,-51,-46
-52,-45,-46
-52,-51,-48
-45,-51,-52
-52,-51,-44
-51,-51,-53
-44,-44,-50
-51,-55,-53
-52,-51,-49
-45,-45,-60
-50,-52,-51
-45,-52,-56
-45,-51,-55
-51,-51,-56
-51,-45,-56
-51,-53,-45
-45,-50,-46
-51,-52,-48
-44,-49,-51
-51,-45,-45
-51,-53,-56
-51,-50,-45
-50,-46,-45
-51,-50,-48
-45,-57,-49
-50,-59,-53
-51,-52,-47
-45,-58,-48
-44,-57,-54
-50,-58,-46
-44,-51,-56
-51,-46,-52
-51,-53,-48
-50,-54,-54
-44,-47,-54
-51,-52,-45
-51,-52,-48
-45,-53,-54
-51,-53,-45
-44,-52,-49
-50,-46,-56
-45,-55,-50
-50,-51,-47
-52,-51,-47
-45,-46,-48
-45,-53,-49
-50,-46,-54
-56,-51,-45
-44,-53,-50
-50,-52,-50
-44,-45,-54
-45,-53,-44
-52,-52,-52
-45,-45,-45
-45,-45,-56
-49,-50,-45
-50,-52,-62
-48,-51,-64
-53,-46,-46
-49,-51,-51
