board_1,board_2
-42,-45
-46,-43
-42,-51
-45,-43
-46,-44
-44,-51
-42,-44
-42,-45
-42,-44
-43,-50
-45,-45
-43,-44
-42,-48
-43,-45
-46,-44
-43,-47
-43,-44
-45,-48
-45,-47
-43,-47
-42,-43
-45,-47
-43,-47
-42,-47
-43,-44
-43,-46
-45,-47
-44,-48
-42,-45
-45,-45
-43,-47
-43,-44
-45,-46
-43,-48
-45,-44
-43,-44
-45,-49
-43,-47
-46,-44
-43,-47
-42,-44
-45,-48
-45,-47
-43,-45
-45,-48
-43,-49
-43,-45
-42,-47
-43,-47
-43,-48
-43,-46
-43,-46
-43,-44
-43,-47
-43,-47
-43,-47
-45,-44
-43,-48
-43,-46
-45,-44
-43,-44
-45,-47
-43,-48
-45,-48
-43,-47
-44,-44
-43,-47
-45,-47
-43,-44
-43,-48
-45,-47
-43,-47
-43,-44
-43,-47
-43,-47
-43,-44
-45,-47
-43,-46
-43,-44
-44,-44
-43,-52
-43,-46
-45,-44
-44,-45
-43,-46
-45,-44
-44,-44
-43,-46
-44,-45
-43,-47
-45,-46
-44,-50
-43,-47
-43,-44
-45,-48
-44,-47
-43,-44
-43,-48
-43,-46
-43,-46
-45,-45
-43,-48
-45,-44
-43,-48
-43,-44
-45,-48
-44,-46
-43,-44
-45,-48
-45,-47
-43,-44
-45,-48
-43,-46
-43,-45
-45,-50
-43,-46
-45,-47
-44,-47
-43,-46
-44,-48
-43,-47
-45,-47
-43,-44
-43,-45
-45,-48
-43,-48
-45,-46
-43,-44
-43,-48
-45,-49
-43,-48
-45,-48
-45,-46
-45,-44
-43,-48
-42,-49
-46,-46
-43,-47
-45,-45
-43,-44
-42,-44
-43,-48
-42,-46
-46,-44
-46,-46
-42,-45
-46,-44
-46,-46
-42,-48
-43,-47
-46,-44
-43,-47
-43,-44
-45,-48
-43,-47
-43,-47
-42,-44
-44,-48
-43,-47
-45,-47
-43,-44
-43,-44
-46,-43
-42,-46
-45,-44
-45,-44
-43,-47
-44,-44
-43,-47
-45,-44
-43,-49
-42,-47
-45,-45
-43,-48
-43,-47
-45,-44
-43,-48
-43,-48
-43,-47
-43,-49
-43,-45
-45,-48
-44,-47
-42,-47
-45,-44
-42,-47
-43,-44
-42,-49
-42,-49
-45,-48
-43,-47
-45,-45
-42,-49
-43,-46
-43,-46
-45,-47
-43,-44
-43,-49
-45,-44
-46,-50
-43,-49
-43,-50
-46,-46
-46,-48
-43,-45
-46,-49
-46,-47
-43,-44
-46,-47
-46,-47
-42,-44
-43,-49
-45,-47
-42,-44
-42,-49
-42,-47
-45,-44
-43,-48
-42,-48
-42,-48
-45,-48
-42,-44
-42,-48
-45,-47
-42,-45
-45,-48
-45,-45
-43,-45
-45,-48
-43,-47
-43,-47
-45,-45
-45,-45
-43,-44
-45,-48
-43,-47
-45,-45
-43,-50
-43,-48
-43,-48
-45,-46
-43,-45
-43,-48
-45,-48
-43,-48
-42,-45
-45,-51
-45,-47
-43,-48
-45,-48
-45,-45
-43,-47
-42,-47
-45,-48
-42,-46
-43,-47
-45,-45
-42,-48
-45,-45
-42,-49
-43,-49
-45,-50
-42,-47
-42,-47
-45,-45
-42,-47
-43,-47
-45,-45
-42,-47
-42,-47
-45,-47
-42,-45
-45,-45
-43,-48
-42,-45
-45,-48
-43,-46
-45,-45
-43,-45
-42,-48
-45,-47
-42,-45
-42,-47
-45,-47
-43,-49
-42,-47
-45,-46
-43,-44
-42,-47
-45,-47
-43,-47
-42,-44
-45,-48
-45,-45
-43,-45
-43,-48
-41,-48
-45,-45
-45,-45
-43,-47
-42,-44
-43,-47
-43,-47
-45,-47
-45,-45
-43,-47
-42,-47
-45,-45
-43,-45
-42,-48
-45,-48
-43,-45
-42,-45
-42,-45
-45,-48
-43,-45
-45,-45
-43,-47
-43,-45
-45,-46
-45,-46
-44,-45
-42,-45
-45,-45
-43,-45
-43,-51
-42,-47
-43,-45
-43,-47
-43,-45
-45,-48
-43,-44
-45,-48
-45,-47
-43,-46
-45,-44
-43,-48
-45,-44
-43,-48
-43,-47
-43,-44
-45,-44
-43,-48
-45,-45
-43,-44
-43,-48
-45,-47
-43,-45
-43,-45
-45,-48
-43,-48
-43,-48
-43,-48
-45,-47
-43,-45
-43,-48
-43,-47
-45,-47
-43,-48
-43,-47
-45,-44
-43,-44
-43,-50
-43,-47
-45,-45
-45,-45
-43,-44
-43,-48
-45,-47
-43,-48
-43,-47
-45,-44
-43,-48
-43,-47
-45,-47
-45,-44
-43,-48
-43,-46
-45,-44
-45,-44
-43,-47
-45,-47
-43,-47
-45,-44
-43,-48
-43,-45
-43,-48
-45,-45
-43,-44
-43,-48
-45,-47
-43,-44
-43,-44
-45,-49
-43,-48
-43,-47
-45,-44
-43,-48
-43,-48
-45,-48
-43,-47
-43,-48
-45,-47
-45,-45
-43,-45
-45,-48
-45,-44
-43,-48
-43,-45
-45,-45
-43,-48
-43,-47
-43,-45
-43,-45
-45,-48
-45,
-43,
-43,
-43,
-45,
-43,
