board_1,board_2
-47,-51
-44,-49
-47,-49
-45,-52
-47,-49
-44,-48
-47,-48
-49,-47
-48,-47
-49,-52
-44,-47
-49,-46
-44,-52
-49,-52
-47,-47
-44,-52
-49,-51
-48,-54
-49,-48
-48,-48
-48,-47
-45,-48
-48,-48
-45,-50
-48,-48
-48,-46
-48,-53
-45,-48
-48,-52
-46,-48
-48,-53
-48,-47
-48,-46
-48,-51
-45,-52
-48,-46
-49,-46
-46,-54
-48,-47
-47,-47
-45,-47
-45,-53
-48,-54
-46,-48
-45,-51
-45,-46
-47,-46
-47,-48
-45,-46
-48,-46
-47,-51
-48,-47
-47,-46
-45,-46
-45,-48
-48,-46
-47,-51
-45,-47
-49,-46
-45,-51
-47,-47
-45,-47
-48,-45
-45,-53
-45,-47
-49,-46
-48,-47
-48,-51
-45,-46
-48,-47
-45,-47
-44,-48
-44,-47
-49,-51
-49,-48
-49,-47
-48,-53
-48,-48
-48,-48
-48,-48
-48,-47
-48,-49
-48,-47
-45,-52
-48,-53
-47,-49
-45,-48
-49,-48
-45,-53
-49,-48
-45,-48
-48,-49
-49,-57
-45,-47
-48,-49
-49,-49
-47,-49
-49,-47
-47,-53
-49,-48
-48,-46
-47,-53
-45,-46
-48,-53
-47,-50
-45,-46
-45,-57
-47,-53
-45,-50
-48,-46
-48,-53
-48,-46
-48,-50
-48,-51
-48,-46
-44,-53
-44,-50
-49,-52
-48,-51
-44,-46
-49,-53
-48,-49
-45,-51
-48,-49
-49,-46
-48,-46
-44,-52
-48,-46
-44,-46
-48,-46
-48,-52
-44,-50
-48,-46
-48,-53
-44,-49
-48,-52
-49,-52
-44,-50
-45,-46
-48,-52
-48,-52
-45,-50
-48,-50
-46,-52
-48,-47
-48,-50
-45,-51
-48,-47
-48,-47
-48,-52
-45,-49
-48,-47
-48,-46
-48,-50
-44,-47
-48,-51
-48,-47
-45,-47
-48,-50
-45,-47
-45,-47
-44,-52
-48,-55
-48,-50
-45,-53
-48,-50
-48,-47
-44,-52
-48,-50
-45,-52
-48,-47
-48,-47
-48,-53
-48,-50
-48,-47
-48,-49
-45,-53
-45,-53
-45,-50
-48,-47
-45,-53
-45,-50
-48,-47
-48,-53
-48,-53
-45,-50
-46,-47
-44,-50
-49,-47
-48,-50
-45,-48
-48,-47
-45,-53
-45,-53
-48,-50
-45,-47
-44,-53
-48,-53
-48,-51
-48,-47
-45,-53
-48,-52
-44,-53
-48,-49
-49,-50
-48,-52
-48,-50
-48,-46
-48,-52
-44,-50
-47,-52
-48,-50
-45,-47
-48,-53
-45,-47
-48,-50
-45,-47
-45,-51
-45,-47
-48,-47
-45,-52
-49,-50
-48,-52
-45,-53
-51,-51
-48,-47
-48,-52
-45,-51
-45,-51
-48,-47
-44,-52
-44,-50
-45,-48
-49,-51
-48,-53
-48,-51
-48,-54
-45,-51
-49,-47
-48,-47
-48,-54
-45,-50
-48,-47
-44,-54
-48,-50
-48,-47
-45,-51
-45,-47
-48,-52
-48,-49
-45,-48
-48,-46
-47,-50
-45,-46
-49,-46
-45,-48
-49,-46
-47,-50
-48,-52
-45,-48
-48,-46
-48,-47
-45,-51
-48,-50
-45,-49
-48,-47
-48,-54
-45,-46
-48,-50
-48,-46
-48,-46
-48,-46
-45,-54
-49,-54
-47,-50
-45,-46
-49,-54
-47,-55
-45,-49
-47,-46
-47,-49
-44,-46
-48,-55
-47,-49
-44,-46
-45,-54
-45,-46
-45,-50
-48,-46
-48,-55
-48,-55
-45,-46
-48,-55
-45,-51
-45,-50
-45,-46
-45,-55
-48,-52
-48,-52
-45,-56
-48,-52
-47,-46
-48,-55
-47,-51
-45,-55
-48,-46
-47,-55
-47,-51
-48,-46
-47,-52
-48,-46
-45,-55
-45,-51
-48,-46
-47,-46
-48,-52
-47,-55
-45,-50
-48,-56
-48,-56
-45,-51
-48,-56
-48,-51
-47,-55
-45,-51
-48,-46
-45,-55
-48,-51
-47,-46
-46,-55
-48,-50
-45,-46
-48,-55
-45,-51
-48,-46
-47,-54
-45,-51
-45,-46
-48,-52
-47,-46
-47,-54
-48,-52
-47,-46
-47,-55
-45,-51
-49,-51
-45,-55
-47,-46
-45,-46
-48,-46
-45,-46
-45,-55
-47,-51
-45,-46
-48,-46
-47,-55
-45,-51
-49,-46
-45,-55
-48,-51
-47,-46
-47,-55
-45,-51
-47,-50
-45,-46
-48,-51
-44,-51
-47,-46
-45,-55
-48,-51
-45,-55
-48,-51
-49,-51
-47,-46
-48,-55
-47,-55
-49,-46
-48,-52
-47,-54
-45,-47
-48,-56
-49,-56
-45,
-48,
-47,
-45,
-47,
-44,
