board_1,board_2
-46,-48
-50,-44
-52,-45
-47,-46
-48,-56
-55,-51
-53,-46
-55,-49
-56,-50
-54,-60
-55,-54
-58,-53
-49,-53
-44,-60
-47,-51
-47,-47
-50,-49
-45,-53
-44,-48
-44,-48
-48,-50
-49,-47
-44,-53
-47,-51
-47,-49
-44,-48
-48,-50
-45,-47
-45,-51
-48,-50
-48,-48
-45,-51
-45,-52
-48,-50
-47,-48
-45,-48
-48,-52
-45,-49
-48,-48
-47,-52
-45,-52
-48,-49
-48,-50
-48,-45
-47,-49
-49,-54
-45,-47
-48,-48
-45,-47
-48,-47
-48,-52
-48,-47
-45,-48
-46,-52
-45,-48
-49,-48
-48,-54
-49,-50
-44,-49
-48,-47
-49,-53
-45,-58
-48,-51
-47,-48
-44,-50
-47,-52
-46,-48
-47,-47
-46,-47
-46,-52
-55,-49
-55,-48
-55,-51
-54,-50
-53,-48
-52,-51
-54,-52
-49,-61
-45,-56
-46,-57
-46,-65
-46,-49
-46,-42
-46,-45
-48,-49
-47,-52
-45,-49
-45,-68
-48,-57
-45,-51
-48,-48
-48,-64
-45,-55
-45,-50
-48,-51
-48,-49
-44,-52
-48,-47
-49,-53
-45,-48
-48,-48
-48,-48
-47,-52
-46,-51
-48,-47
-48,-50
-48,-48
-45,-48
-48,-55
-48,-51
-48,-50
-49,-48
-48,-50
-48,-48
-48,-55
-45,-54
-48,-50
-47,-49
-45,-48
-48,-55
-48,-54
-48,-50
-46,-48
-48,-54
-48,-50
-46,-48
-50,-54
-48,-49
-45,-54
-48,-51
-46,-50
-49,-51
-46,-49
-48,-50
-53,-47
-50,-50
-54,-49
-49,-50
-47,-49
-52,-54
-51,-50
-49,-48
-46,-50
-46,-53
-45,-56
-49,-55
-51,-48
-48,-46
-48,-53
-44,-49
-44,-47
-47,-48
-48,-48
-44,-55
-45,-53
-48,-53
-48,-71
-45,-55
-48,-62
-48,-55
-48,-49
-45,-46
-46,-55
-48,-55
-48,-51
-48,-49
-48,-57
-45,-51
-45,-50
-48,-55
-48,-51
-45,-50
-45,-51
-48,-52
-45,-49
-49,-49
-45,-49
-48,-52
-45,-52
-48,-50
-48,-49
-48,-54
-48,-55
-44,-54
-45,-49
-45,-47
-48,-51
-45,-54
-49,-53
-49,-50
-44,-49
-47,-51
-46,-49
-45,-50
-55,-52
-58,-51
-55,-47
-55,-49
-47,-47
-49,-54
-48,-49
-46,-56
-49,-64
-49,-49
-47,-48
-47,-63
-48,-66
-48,-49
-47,-44
-48,-44
-48,-48
-47,-51
-45,-48
-49,-45
-44,-50
-48,-48
-48,-54
-44,-46
-48,-56
-45,-48
-44,-46
-48,-47
-48,-53
-44,-49
-47,-48
-45,-53
-48,-47
-48,-50
-45,-46
-49,-53
-47,-49
-45,-48
-44,-47
-48,-50
-48,-54
-45,-51
-48,-48
-44,-45
-48,-62
-48,-51
-46,-49
-47,-59
-47,-45
-47,-51
-51,-57
-50,-53
-54,-51
-54,-53
-49,-45
-47,-61
-46,-48
-46,-51
-45,-46
-47,-48
-48,-49
-49,-51
-47,-49
-44,-49
-45,-59
-47,-54
-48,-47
-45,-48
-48,-52
-44,-47
-45,-48
-45,-50
-48,-49
-48,-53
-44,-49
-47,-49
-48,-54
-45,-49
-48,-48
-48,-48
-48,-53
-47,-49
-48,-48
-45,-47
-45,-51
-50,-50
-48,-48
-45,-53
-48,-54
-47,-50
-45,-49
-45,-48
-48,-53
-45,-50
-45,-52
-49,-50
-50,-49
-44,-51
-44,-53
-46,-54
-46,-47
-50,-53
-51,-49
-52,-48
-50,-50
-57,-63
-59,-52
-48,-56
-45,-60
-48,-59
-44,-61
-44,-48
-45,-45
-45,-60
-48,-50
-47,-47
-45,-45
-49,-50
-48,-61
-49,-61
-43,-47
-50,-49
-45,-47
-49,-47
-48,-48
-48,-54
-47,-50
-44,-54
-48,-47
-47,-54
-45,-49
-45,-48
-48,-49
-45,-53
-45,-51
-47,-47
-49,-55
-48,-55
-48,-49
-45,-49
-48,-48
-46,-56
-48,-48
-48,-54
-48,-47
-45,-47
-48,-55
-48,-48
-44,-48
-45,-54
-47,-48
-47,-53
-49,-52
-45,-47
-50,-56
-47,-53
-47,-52
-49,-45
-48,-46
-45,-46
-48,-51
-52,-49
-55,-52
-64,-52
-47,-49
-48,-52
-51,-51
-52,-62
-44,-55
-46,-58
-50,-53
-46,-52
-45,-51
-48,-52
-46,-53
-50,-47
-44,-58
-48,-54
-44,-51
-47,-58
-45,-48
-50,-49
-48,-48
-50,-55
-45,-49
-45,-49
-48,-56
-49,-55
-45,-50
-46,-55
-48,-50
-45,-54
-45,-55
-45,-49
-48,-48
-48,-53
-48,-53
-47,-50
-45,-54
-48,-50
-47,-50
-48,-53
-48,-51
-44,-48
-48,-54
-48,-48
-44,-51
-45,-50
-48,-49
-48,-50
-45,-48
-48,-49
-49,-49
-47,-57
-46,-52
-46,-52
-46,-62
-49,-53
-52,-51
-52,-46
-43,-50
-48,-46
-45,-50
-49,-46
-47,-49
-47,-51
-49,-53
-48,-48
-44,-49
-48,-52
-49,-49
-49,-49
-48,-48
-48,-51
-50,-46
-45,-49
-48,-47
-45,-55
-48,-48
-48,-50
-45,-47
-45,-52
-47,-47
-45,-53
-44,-48
-48,-48
-48,-46
-47,-54
-45,-51
-48,-49
-48,-48
-45,-49
-48,-45
-48,-48
